received_on,operator,volunteer,event_type,response_date,age,sex,duration,location,location_slug,location_type,topics_list,topics_count,topic_A1,topic_A2,topic_B1,topic_B2,topic_B3,topic_B4,topic_C1,topic_C2,topic_D1,topic_D2,topic_D3,topic_E1,topic_E10,topic_E2,topic_E3,topic_E4,topic_E5,topic_E6,topic_E7,topic_E8,topic_E9,topic_F1,topic_F10,topic_F11,topic_F12,topic_F2,topic_F3,topic_F4,topic_F5,topic_F6,topic_F7,topic_F8,topic_F9,topic_G1,topic_H1,topic_H2,topic_H3
2013-07-10T10:49:18,orange,Abderhamane,CHARGE_ME,2013-07-10T11:30:00,25,F,7,DISTRICT DE BAMAKO,91000000,cercle,E4,1,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,
2013-07-10T10:49:11.978000,malitel,Abderhamane,RING,2013-07-10T11:58:00,22,M,5,KAYES,11000000,cercle,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10T10:49:38.978000,orange,Abderhamane,RING,2013-07-10T12:16:00,40,M,4,KOLOKANI,26000000,cercle,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-07-10T10:50:26.058000,malitel,Abderhamane,RING,2013-07-10T11:42:00,25,F,5,COMMUNE 6,91096000,commune,"E1, F9",2,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-07-10T10:50:50,orange,Abderhamane,SMS_HOTLINE,2013-07-10T11:25:00,35,M,4,MOPTI,51000000,cercle,E10,1,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10T10:51:37.608000,orange,Abderhamane,RING,2013-07-10T11:21:00,25,M,2,DISTRICT DE BAMAKO,91000000,cercle,E10,1,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10T10:51:50.818000,orange,Abderhamane,RING,2013-07-10T11:01:00,30,M,3,DISTRICT DE BAMAKO,91000000,cercle,E10,1,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10T10:54:22.938000,malitel,Abderhamane,RING,2013-07-10T11:41:00,20,F,1,DISTRICT DE BAMAKO,91000000,cercle,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-07-10T10:59:12.138000,orange,Abderhamane,RING,2013-07-10T11:01:00,30,U,4,DISTRICT DE BAMAKO,91000000,cercle,E10,1,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10T11:06:32.568000,malitel,Abderhamane,RING,2013-07-10T09:00:00,36,M,3,KATI,25000000,cercle,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10T11:07:47.848000,malitel,Abderhamane,RING,2013-07-10T11:58:00,22,M,5,KOLOKANI,26000000,cercle,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-07T08:05:55,orange,abba,CALL_ME,2013-07-07T08:05:00,,U,0,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-07-07T10:39:25,malitel,abba,CALL_ME,2013-07-07T10:39:00,,U,0,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-07-11T17:16:28,malitel,Abderhamane,SMS_HOTLINE,2013-07-11T17:34:00,41,M,2,MISSIRA,91092541,village,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T16:18:20,malitel,Abderhamane,CALL_ME,2013-07-11T16:00:00,18,F,2,KAYES,11000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T15:38:33,malitel,Abderhamane,CALL_ME,2013-07-11T15:38:00,,F,6,KAYES,11000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
